,상품이름,무게,칼로리,지방,탄수화물,단백질
160,자이언트 떡볶이,1컵 (237g)당,513kcal,4.10g,103.00g,16.00g
161,추억의도시락,1회 (345g)당,646kcal,22.00g,90.00g,22.00g
162,대게딱지장,1인분 (110g)당,185kcal,4.10g,33.00g,4.00g
163,단호한햄샌드위치,1인분 (153g)당,309kcal,13.00g,38.00g,10.00g
164,참치flex,1 인분 (100g)당,165kcal,2.30g,32.00g,4.00g
165,초코마카롱,1조각 (45g)당,180kcal,6.00g,30.00g,3.00g
166,헤이즐넛향,100ml당,65kcal,0.00g,16.00g,1.00g
167,광양식 불고기 삼각김밥,1인분 (106g)당,181kcal,2.30g,35.00g,5.00g
168,삼육두유 마카롱,1인분 (70g)당,330kcal,17.00g,38.60g,4.00g
169,치킨 찹찹 미니샐러드,1인분 (144g)당,153kcal,9.00g,7.00g,11.00g
170,속이꽉찬 햄샌드위치,1인분 (136g)당,305kcal,13.00g,38.00g,9.00g
171,자이언트 라볶이,1컵 (300g)당,690kcal,3.30g,149.00g,17.00g
172,치즈돼지갈비찜김밥,1인분 (248g)당,393kcal,9.00g,56.00g,22.00g
173,등심돈까스 김밥,1줄 (252g)당,477kcal,17.00g,68.00g,13.00g
174,매콤직화불고기 삼각김밥,1인분 (150g)당,268kcal,4.40g,47.00g,10.00g
175,7찬매콤불고기 도시락,1인분 (445g)당,715kcal,23.00g,94.00g,33.00g
176,햄치즈 치아바타,1인분 (157g)당,456kcal,20.00g,46.00g,23.00g
177,최애7찬,1인분 (385g)당,792kcal,24.00g,114.00g,30.00g
178,12찬 한판도시락,1회 (410g)당,741kcal,25.00g,97.00g,32.00g
179,불고기전주비빔,1개 (155g)당,250kcal,6.00g,41.00g,8.00g
180,채식주의 샐러드,1팩 (189g)당,230kcal,11.00g,23.00g,9.00g
181,삼육두유 모나카,1인분 (140ml)당,174kcal,6.00g,28.00g,2.00g
182,간장찜닭,1개 (400g)당,528kcal,4.40g,89.00g,33.00g
183,보성녹돈등심돈까스김밥,1줄 (252g)당,477kcal,17.00g,68.00g,13.00g
184,바지락칼국수,1회 (171g)당,280kcal,1.40g,58.00g,9.00g
185,흑임자 치킨 미니 샐러드,1인분 (135g)당,118kcal,6.00g,8.00g,8.00g
186,에그고소햄 샌드위치,1인분 (165g)당,373kcal,17.00g,47.00g,8.00g
